"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"407","TGM2",1,1,0,1,0,0,1,1,1,1,0
"408","OSBP",1,0,0,0,0,1,0,0,0,0,0
"409","PCMT1",1,1,1,1,1,1,1,1,1,1,1
"410","TNXB",1,0,1,0,0,0,0,0,1,0,1
"411","PAICS",1,0,0,0,1,1,1,0,0,0,1
"412","SCP2",1,1,0,1,0,1,0,0,0,0,1
"413","UBA1",1,1,0,1,0,1,1,0,1,1,0
"414","NME2",1,1,0,0,0,1,1,1,1,1,1
"415","ENPP1",1,0,1,0,0,1,0,0,0,0,1
"416","HNRNPA2B1",1,1,0,0,1,1,1,1,0,0,1
"417","CALB2",1,1,0,1,1,1,1,0,1,1,1
"418","UQCRC2",1,1,1,1,1,1,1,0,0,0,1
"419","SLC2A5",1,1,0,1,1,0,1,0,1,1,1
"420","TGM1",1,1,1,1,1,1,1,1,1,1,1
"421","MRC1",1,1,1,1,1,1,1,1,1,1,1
"422","CES1",1,1,0,1,0,0,0,0,0,0,0
"423","PTGS1",1,0,1,1,0,1,0,0,0,0,1
"424","ITGA6",1,1,1,0,1,1,1,0,1,1,1
"425","PPIB",1,1,1,1,1,0,1,0,0,1,1
"426","S100A1",1,0,0,0,0,0,0,1,0,0,0
"427","WARS1",1,1,0,1,0,1,1,0,0,1,0
"428","JAK1",1,1,1,1,0,1,1,0,1,1,1
"429","PTPRE",1,0,1,0,0,1,0,0,0,0,0
"430","PTPRG",1,0,0,0,0,0,0,0,0,0,1
"431","AHCY",1,1,1,1,0,0,1,0,1,1,0
"432","ATP2B4",1,1,1,1,1,1,1,1,1,1,0
"433","KDELR1",1,1,1,1,1,1,0,0,0,0,1
"434","EEF1B2",1,0,1,1,1,0,1,0,0,1,1
"435","ATP5PB",1,1,1,1,1,1,1,0,0,1,1
"436","TBXAS1",1,0,1,1,1,1,0,0,0,0,1
"437","RPS12",1,1,1,1,0,1,1,1,1,1,1
"438","FAS",1,1,1,1,1,1,1,0,1,1,1
"439","ATP5F1A",1,1,1,1,1,1,1,1,0,1,0
"440","PSMA3",1,0,0,0,0,0,1,0,0,0,1
"441","PSMA4",1,0,1,1,1,0,1,0,1,0,0
"442","ITGA3",1,1,1,1,1,1,1,1,1,1,0
