"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"1332","RAB22A","RAB22A","Q9UL26",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
"1333","PSME2","PSME2","Q9UL46",1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0
"1334","RAB23","RAB23","Q9ULC3",1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0
"1335","ACSL5","ACSL5","Q9ULC5",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1336","CORO1C","CORO1C","Q9ULV4",1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0
"1337","TMCO1","TMCO1","Q9UM00",1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1
"1338","PACSIN2","PACSIN2","Q9UNF0",1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
"1339","SNX6","SNX6","Q9UNH7",1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0
"1340","STX8","STX8","Q9UNK0",1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
"1341","PSMD13","PSMD13","Q9UNM6",1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
"1342","PROCR","PROCR","Q9UNN8",1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
"1343","MACF1","MACF1","Q9UPN3",1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0
"1344","BAIAP2","BAIAP2","Q9UQB8",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
"1345","RUVBL2","RUVBL2","Q9Y230",1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0
"1346","EIF3L","EIF3L","Q9Y262",1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0
"1347","RUVBL1","RUVBL1","Q9Y265",1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0
"1348","VDAC3","VDAC3","Q9Y277",1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
"1349","VSIG4","VSIG4","Q9Y279",1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"1350","ERGIC3","ERGIC3","Q9Y282",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"1351","SIGLEC7","SIGLEC7","Q9Y286",1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
"1352","ITM2B","ITM2B","Q9Y287",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"1353","NCKAP1","NCKAP1","Q9Y2A7",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"1354","CNPY2","CNPY2","Q9Y2B0",1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"1355","POFUT2","POFUT2","Q9Y2G5",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1356","EPB41L3","EPB41L3","Q9Y2J2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1357","SLC27A6","SLC27A6","Q9Y2P4",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1358","GSTK1","GSTK1","Q9Y2Q3",1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0
"1359","NOP58","NOP58","Q9Y2X3",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1360","DERA","DERA","Q9Y315",1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
"1361","LSM2","LSM2","Q9Y333",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1362","CAB39","CAB39","Q9Y376",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1363","DHRS7","DHRS7","Q9Y394",1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
"1364","TMED5","TMED5","Q9Y3A6",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"1365","TMED7","TMED7","Q9Y3B3",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"1366","GOLT1B","GOLT1B","Q9Y3E0",1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0
"1367","PTRH2","PTRH2","Q9Y3E5",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1368","STRAP","STRAP","Q9Y3F4",1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0
"1369","RTCB","RTCB","Q9Y3I0",1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0
"1370","RAP2C","RAP2C","Q9Y3L5",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
"1371","SAMHD1","SAMHD1","Q9Y3Z3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1372","DAAM1","DAAM1","Q9Y4D1",1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
"1373","FARP1","FARP1","Q9Y4F1",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1374","HYOU1","HYOU1","Q9Y4L1",1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1
"1375","LAS1L","LAS1L","Q9Y4W2",1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"1376","SRPRB","SRPRB","Q9Y5M8",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1
"1377","CDC42BPB","CDC42BPB","Q9Y5S2",1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0
"1378","IER3IP1","IER3IP1","Q9Y5U9",1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"1379","F11R","F11R","Q9Y624",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"1380","GPC6","GPC6","Q9Y625",1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1
"1381","NPTN","NPTN","Q9Y639",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"1382","SLC12A7","SLC12A7","Q9Y666",1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0
"1383","COPG1","COPG1","Q9Y678",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"1384","CLIC4","CLIC4","Q9Y696",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
"1385","EMILIN1","EMILIN1","Q9Y6C2",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
"1386","MTCH2","MTCH2","Q9Y6C9",1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"1387","STK24","STK24","Q9Y6E0",1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0
"1388","SLC30A1","SLC30A1","Q9Y6M5",1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0
"1389","SLC4A7","SLC4A7","Q9Y6M7",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"1390","NDUFB9","NDUFB9","Q9Y6M9",1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"1391","WASF2","WASF2","Q9Y6W5",1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0
"1392","SEC23IP","SEC23IP","Q9Y6Y8",1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
"1393","IGKV2-24","IGKV2-24","A0A0C4DH68",0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1
"1394","IGHV3-15","IGHV3-15","A0A0B4J1V0",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"1395","IGLC7","IGLC7","A0M8Q6",0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
"1396","UPK3BL1","UPK3BL","B0FP48",0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
"1397","LST1","LST1","O00453",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"1398","AGRN","AGRN","O00468",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"1399","TPP1","TPP1","O14773",0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0
"1400","PPP1R12A","PPP1R12A","O14974",0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
"1401","ATP2A1","ATP2A1","O14983",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1402","EEF1E1","EEF1E1","O43324",0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"1403","PROM1","PROM1","O43490",0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
"1404","LY75","LY75","O60449",0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"1405","PLIN3","PLIN3","O60664",0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"1406","LILRB3","LILRB3","O75022",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1407","ROCK2","ROCK2","O75116",0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
"1408","NDUFS2","NDUFS2","O75306",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1409","PDCD6","PDCD6","O75340",0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0
"1410","VPS26A","VPS26A","O75436",0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0
"1411","NDUFS3","NDUFS3","O75489",0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0
"1412","DYSF","DYSF","O75923",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"1413","IPO7","IPO7","O95373",0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0
"1414","CDS2","CDS2","O95674",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"1415","OXSR1","OXSR1","O95747",0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0
"1416","ALDH1A1","ALDH1A1","P00352",0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0
"1417","F13A1","F13A1","P00488",0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
"1418","P01715","P01715","P01715",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1419","SLC4A1","SLC4A1","P02730",0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
"1420","MT2A","MT2A","P02795",0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0
"1421","ANXA1","ANXA1","P04083",0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0
"1422","HLA-A","HLA-A","P04439",0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1
"1423","ERBB2","ERBB2","P04626",0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0
"1424","SERPINB2","SERPINB2","P05120",0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"1425","SLC25A5","SLC25A5","P05141",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1426","CD2","CD2","P06729",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"1427","GPI","GPI","P06744",0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
"1428","LDHB","LDHB","P07195",0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1
"1429","CD55","CD55","P08174",0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0
"1430","CTSG","CTSG","P08311",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"1431","FCGR3A","FCGR3A","P08637",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1432","FGR","FGR","P09769",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"1433","HSPA1A","HSPA1A","P0DMV8",0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1
"1434","P0DP25","P0DP25","P0DP25",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"1435","HSPA5","HSPA5","P11021",0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1
"1436","PYGB","PYGB","P11216",0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0
"1437","COL6A1","COL6A1","P12109",0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
"1438","F5","F5","P12259",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"1439","FCGR2A","FCGR2A","P12318",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1440","COX4I1","COX4I1","P13073",0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"1441","LAMP2","LAMP2","P13473",0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0
"1442","ITGA4","ITGA4","P13612",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"1443","EEF2","EEF2","P13639",0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
"1444","CEACAM1","CEACAM1","P13688",0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
"1445","PLS3","PLS3","P13797",0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1
"1446","IL1R1","IL1R1","P14778",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"1447","GLUL","GLUL","P15104",0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0
"1448","ANPEP","ANPEP","P15144",0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
"1449","PDGFRA","PDGFRA","P16234",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1450","VCL","VCL","P18206",0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
"1451","AZU1","AZU1","P20160",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"1452","RAB6A","RAB6A","P20340",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"1453","CFL1","CFL1","P23528",0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1
"1454","PSMA1","PSMA1","P25786",0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
"1455","YWHAQ","YWHAQ","P27348",0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0
"1456","EEF1D","EEF1D","P29692",0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"1457","BLVRB","BLVRB","P30043",0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
"1458","FCER1G","FCER1G","P30273",0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0
"1459","CASQ1","CASQ1","P31415",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1460","YWHAB","YWHAB","P31946",0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1
"1461","L1CAM","L1CAM","P32004",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1462","SPR","SPR","P35270",0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"1463","ACTR1B","ACTR1B","P42025",0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0
"1464","GRK6","GRK6","P43250",0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
"1465","CRKL","CRKL","P46109",0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0
"1466","UTRN","UTRN","P46939",0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
"1467","ALDH1A3","ALDH1A3","P47895",0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
"1468","QARS1","QARS","P47897",0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
"1469","RGS19","RGS19","P49795",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"1470","RAB13","RAB13","P51153",0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
"1471","RAB27A","RAB27A","P51159",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"1472","VCP","VCP","P55072",0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1
"1473","CDH11","CDH11","P55287",0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"1474","BID","BID","P55957",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1475","EIF4A1","EIF4A1","P60842",0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1
"1476","RPS20","RPS20","P60866",0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0
"1477","B2M","B2M","P61769",0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
"1478","HNRNPK","HNRNPK","P61978",0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
"1479","YWHAE","YWHAE","P62258",0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1
"1480","FKBP1A","FKBP1A","P62942",0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
"1481","RACK1","GNB2L1","P63244",0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0
"1482","PPP2CA","PPP2CA","P67775",0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0
"1483","TPM4","TPM4","P67936",0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
"1484","PAFAH1B2","PAFAH1B2","P68402",0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"1485","LCN2","LCN2","P80188",0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
"1486","BASP1","BASP1","P80723",0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1
"1487","ARF1","ARF1","P84077",0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
"1488","DAB2","DAB2","P98082",0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"1489","CYCS","CYCS","P99999",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1490","HDLBP","HDLBP","Q00341",0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"1491","ANK2","ANK2","Q01484",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1492","PFKP","PFKP","Q01813",0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0
"1493","ROR2","ROR2","Q01974",0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
"1494","TAGLN","TAGLN","Q01995",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"1495","RHAG","RHAG","Q02094",0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
"1496","PRKCD","PRKCD","Q05655",0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"1497","PAK2","PAK2","Q13177",0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0
"1498","MSLN","MSLN","Q13421",0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0
"1499","TUBB3","TUBB3","Q13509",0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"1500","IQGAP2","IQGAP2","Q13576",0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
"1501","RAB31","RAB31","Q13636",0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"1502","SEPTIN6","SEPT6","Q14141",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"1503","DPYSL3","DPYSL3","Q14195",0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
"1504","DCTN1","DCTN1","Q14203",0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0
"1505","PTPRCAP","PTPRCAP","Q14761",0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"1506","CUL7","CUL7","Q14999",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
"1507","EEA1","EEA1","Q15075",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"1508","PLEC","PLEC","Q15149",0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0
"1509","STK38","STK38","Q15208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1510","SF3A1","SF3A1","Q15459",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1511","CDC37","CDC37","Q16543",0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0
"1512","C3AR1","C3AR1","Q16581",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1513","H2AC18","HIST2H2AA3","Q6FI13",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"1514","TUBB8","TUBB8","Q3ZCM7",0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
"1515","TMEM198","TMEM198","Q66K66",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"1516","ERAP2","ERAP2","Q6P179",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1517","C16orf46","C16orf46","Q6P387",0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"1518","TUBA1A","TUBA1A","Q71U36",0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0
"1519","EIF3M","EIF3M","Q7L2H7",0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0
"1520","VTCN1","VTCN1","Q7Z7D3",0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0
"1521","FAM114A1","FAM114A1","Q8IWE2",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"1522","CADM3","CADM3","Q8N126",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1523","LRRC25","LRRC25","Q8N386",0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0
"1524","SFRP1","SFRP1","Q8N474",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1525","GOLM1","GOLM1","Q8NBJ4",0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"1526","SERBP1","SERBP1","Q8NC51",0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
"1527","TSPAN14","TSPAN14","Q8NG11",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"1528","GIPC2","GIPC2","Q8TF65",0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0
"1529","BRK1","BRK1","Q8WUW1",0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0
"1530","ELMO1","ELMO1","Q92556",0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"1531","SEPTIN8","SEPT8","Q92599",0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"1532","HAS1","HAS1","Q92839",0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"1533","NEO1","NEO1","Q92859",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1534","OSTF1","OSTF1","Q92882",0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0
"1535","ARHGEF1","ARHGEF1","Q92888",0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"1536","MYDGF","MYDGF","Q969H8",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"1537","IGSF8","IGSF8","Q969P0",0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"1538","MRGPRF","MRGPRF","Q96AM1",0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
"1539","EFHD2","EFHD2","Q96C19",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"1540","ELMO2","ELMO2","Q96JJ3",0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"1541","LRATD2","FAM84B","Q96KN1",0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"1542","MUC4","MUC4","Q99102",0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0
"1543","SDHC","SDHC","Q99643",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1544","TMEM109","TMEM109","Q9BVC6",0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
"1545","TPPP3","TPPP3","Q9BW30",0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0
"1546","HYCC1","FAM126A","Q9BYI3",0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0
"1547","CTDSP1","CTDSP1","Q9GZU7",0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
"1548","EPS8L2","EPS8L2","Q9H6S3",0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0
"1549","APMAP","APMAP","Q9HDC9",0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
"1550","PLSCR4","PLSCR4","Q9NRQ2",0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0
"1551","CDC42SE1","CDC42SE1","Q9NRR8",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"1552","FLRT3","FLRT3","Q9NZU0",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1553","SEPTIN10","SEPT10","Q9P0V9",0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0
"1554","TENM3","TENM3","Q9P273",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1555","DPM3","DPM3","Q9P2X0",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"1556","GRHPR","GRHPR","Q9UBQ7",0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"1557","ADD3","ADD3","Q9UEY8",0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"1558","NDUFA12","NDUFA12","Q9UI09",0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"1559","MSRA","MSRA","Q9UJ68",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"1560","MYH2","MYH2","Q9UKX2",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1561","DNPEP","DNPEP","Q9ULA0",0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0
"1562","HEG1","HEG1","Q9ULI3",0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0
"1563","TTC7A","TTC7A","Q9ULT0",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"1564","PYCARD","PYCARD","Q9ULZ3",0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0
"1565","FZD1","FZD1","Q9UP38",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1566","FLVCR2","FLVCR2","Q9UPI3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1567","CEP164","CEP164","Q9UPV0",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1568","MYRF","MYRF","Q9Y2G1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"1569","SIGLEC9","SIGLEC9","Q9Y336",0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
"1570","SH3GLB1","SH3GLB1","Q9Y371",0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0
"1571","GPSM3","GPSM3","Q9Y4H4",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1572","UBA6","UBA6","A0AVT1",0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
"1573","LGALS8","LGALS8","O00214",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1574","DNM1L","DNM1L","O00429",0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"1575","BTN3A3","BTN3A3","O00478",0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0
"1576","NDUFA4","NDUFA4","O00483",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1577","KRIT1","KRIT1","O00522",0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
"1578","VWA5A","VWA5A","O00534",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"1579","PLPP1","PPAP2A","O14494",0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"1580","PLPP3","PPAP2B","O14495",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"1581","HSD17B6","HSD17B6","O14756",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"1582","TAX1BP3","TAX1BP3","O14907",0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0
"1583","UBE2L6","UBE2L6","O14933",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"1584","GAK","GAK","O14976",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1585","CLIC2","CLIC2","O15247",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1586","DYNC1LI2","DYNC1LI2","O43237",0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0
"1587","HSPA12A","HSPA12A","O43301",0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"1588","AKR7A2","AKR7A2","O43488",0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"1589","DNPH1","DNPH1","O43598",0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"1590","GSTZ1","GSTZ1","O43708",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
