"","Suggested.Symbol","name","ID","C1","C2","C3","C4","C5"
"1060","SRPRA","SRPR","P08240",10806,0,25331,0,0
"1061","ASNS","ASNS","P08243",0,0,0,0,0
"1062","ELANE","ELANE","P08246",0,0,79766,0,0
"1063","MMP2","MMP2","P08253",0,0,0,0,0
"1064","GSTA1","GSTA1","P08263",4538100,1232500,12793000,0,664370
"1065","SOD3","SOD3","P08294",4639.8,0,0,0,0
"1066","CTSG","CTSG","P08311",0,0,0,0,0
"1067","HMBS","HMBS","P08397",0,0,0,0,0
"1068","MME","MME","P08473",0,0,6832.6,0,0
"1069","ITGA2B","ITGA2B","P08514",39448,0,181280,0,0
"1070","LPA","LPA","P08519",78530,0,0,182970,0
"1071","PDHA1","PDHA1","P08559",3274.7,0,0,0,0
"1072","PLEK","PLEK","P08567",0,0,0,0,0
"1073","CD14","CD14","P08571",660800,295980,119100,533710,642970
"1074","COL4A2","COL4A2","P08572",653660,0,357570,0,481750
"1075","CYC1","CYC1","P08574",22771,0,0,0,0
"1076","PTPRC","PTPRC","P08575",101500,651590,25629,1147400,0
"1077","SNRPB2","SNRPB2","P08579",0,99839,0,0,0
"1078","MET","MET","P08581",0,0,0,0,0
"1079","MELTF","MFI2","P08582",59875,257320,0,1823600,0
"1080","MYL3","MYL3","P08590",0,0,0,0,0
"1081","CFH","CFH","P08603",13229000,417940,9182300,906960,9540000
"1082","SNRNP70","SNRNP70","P08621",25151,0,0,0,0
"1083","HCK","HCK","P08631",3854.7,127780,0,0,0
"1084","FCGR3A","FCGR3A","P08637",0,0,0,0,0
"1085","ITGA5","ITGA5","P08648",222940,24023,672020,0,0
"1086","VIM","VIM","P08670",1287800,0,480010,0,0
"1087","SERPINF2","SERPINF2","P08697",2748900,26732,1619000,1547800,7289400
"1088","RPS17","RPS17","P08708",214430,0,215550,0,54678
"1089","F7","F7","P08709",0,0,0,0,0
"1090","GNAI3","GNAI3","P08754",306080,141620,735170,1624700,0
"1091","ANXA5","ANXA5","P08758",2716400,1941100,8973200,5499600,162820
"1092","RPSA","RPSA","P08865",350890,17255,544580,124580,0
