"","Suggested.Symbol","ID","cut_sec","p.value_sec","HR_sec","LCL_sec","UCL_sec","adj.p.val_sec","cut_uc","p.value_uc","HR_uc","LCL_uc","UCL_uc","adj.p.val_uc"
"99","FKBP15","Q5T1M5",79958,0.169771598861868,0.338130091155648,0.0674167883946411,1.69589743545267,0.317311202634681,239220,0.167385252664291,3.84994549626084e-09,0,Inf,0.175196564455292
"100","MPP7","Q5T2T1",1213.2,0.943515541328511,1.08000732432631,0.128388688209044,9.08503573694367,0.943515541328511,47640,0.0182363914432867,0.0940376255929455,0.00830973692290878,1.06418230916311,0.0295166335731548
"101","WLS","Q5T9L3",8189.5,0.943515541328511,1.08000732432631,0.128388688209044,9.08503573694367,0.943515541328511,11671.5,0.0182363914432867,0.0940376255929455,0.00830973692290878,1.06418230916311,0.0295166335731548
"102","SLC25A24","Q6NUK1",137551.5,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,85906.5,0.0457612977542468,0.210385568916829,0.0401990282097144,1.10107357266317,0.0635798561718296
"103","NAPRT","Q6XQN6",4081.05,0.263398448850985,2.18413468777155,0.537453140744862,8.87601908459503,0.375479826058664,404385,0.0266238999494781,6.90902018849756,0.957121901942944,49.8730202163031,0.0401918489621929
"104","APBB1IP","Q7Z5R6",56449,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,1063985,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"105","STING1","Q86WV6",31713.5,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.097129516000535,2366.95,0.00156540225800261,7.5805574842845e-10,0,Inf,0.00396400249203887
"106","C2CD5","Q86YS7",7607,0.0488806912574286,0.224266125184194,0.044321324356068,1.13478772658215,0.180891765684357,243085,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"107","CADM3","Q8N126",8673,0.386231980108675,0.409268188344644,0.0507553066338194,3.30015639939602,0.473737663102047,20161.7,0.224063508840533,0.36190069163965,0.0655617257173093,1.99769162840505,0.232966694622276
"108","SLC43A2","Q8N370",7405.9,0.386231980108675,0.409268188344644,0.0507553066338194,3.30015639939602,0.473737663102047,67802.5,0.0182363914432867,0.0940376255929455,0.00830973692290878,1.06418230916311,0.0295166335731548
"109","LILRB2","Q8N423",4989.95,0.0483363070123172,4.64884319647134,0.878733232136161,24.594202512224,0.180891765684357,1491495,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"110","EMC1","Q8N766",8071.2,0.270249811112287,0.326614828418171,0.0403492728775795,2.64384556485793,0.375479826058664,1281.2,0.00156540225800261,7.5805574842845e-10,0,Inf,0.00396400249203887
"111","COLGALT1","Q8NBJ5",27532,0.035258240333956,0.189368370570746,0.0338905192265234,1.05812423624818,0.180891765684357,174895,0.005239568708446,0.082168666608791,0.00927236042206972,0.728152214208212,0.0119219172061742
"112","SERBP1","Q8NC51",36488,0.25537115490645,0.444255337658979,0.106318548007753,1.8563346540822,0.375479826058664,43018.5,0.0816472464016473,0.25593536971579,0.0497666851424784,1.31620004997375,0.0986047514235279
"113","LILRB1","Q8NHL6",6076,0.0515052673683015,0.105409255338903,0.00658688925025256,1.68685257774388,0.180891765684357,2264880,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"114","VANGL1","Q8TAA9",1164.1,0.943515541328511,1.08000732432631,0.128388688209044,9.08503573694367,0.943515541328511,15883,0.0941009238671319,5.21969628529644,0.623151607701402,43.7216705758588,0.111081541707817
"115","GIMAP1","Q8WWP7",24244,0.636744194154177,0.604382330057304,0.0732288492742459,4.9881707073876,0.704005904804266,35412,0.262835305521104,0.469407698496668,0.121567281436446,1.81252377123472,0.271481203729035
"116","LPAR1","Q92633",8916.5,0.636744194154177,0.604382330057304,0.0732288492742459,4.9881707073876,0.704005904804266,29419.5,0.005239568708446,0.082168666608791,0.00927236042206972,0.728152214208212,0.0119219172061742
"117","HAS1","Q92839",108939,0.204367724657522,0.278132222306579,0.0339372187570603,2.27943054611989,0.337744555486641,420180,0.00775461466575633,5.65953255559174e-10,0,Inf,0.0152184312815468
"118","ATP2A3","Q93084",57637.5,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,100045.5,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.0137800338015797
"119","PERP","Q96FX8",23658,0.353128922948805,2.79621428287191,0.289766444834726,26.9831599038201,0.461819313041442,215050,0.0778623450700625,3.86840717919829,0.768670695816427,19.4681209853832,0.0955030326249986
"120","RNF170","Q96K19",9525.7,0.270249811112287,0.326614828418171,0.0403492728775795,2.64384556485793,0.375479826058664,20045.5,0.0488806912574286,0.224266125184194,0.044321324356068,1.13478772658215,0.0658237354007995
"121","TRIM47","Q96LD4",10060.85,0.204367724657522,0.278132222306579,0.0339372187570603,2.27943054611989,0.337744555486641,7976.8,0.0182363914432867,0.0940376255929455,0.00830973692290878,1.06418230916311,0.0295166335731548
"122","SNX18","Q96RF0",22471.5,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,260625,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"123","RUFY1","Q96T51",4448.45,0.59928878038224,0.652664395983267,0.131437808555187,3.24085450348444,0.676894521726703,14815.5,0.136380977070279,0.331397428428161,0.0722769912477339,1.51949124711581,0.149732960839397
"124","SEC62","Q99442",23769,0.253715634131524,0.405147295081263,0.0818714954492253,2.00490207014067,0.375479826058664,7546,0.00156540225800261,7.5805574842845e-10,0,Inf,0.00396400249203887
"125","CD180","Q99467",52069.5,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,139428.5,0.000352012888524378,2.00063690029377e-10,0,Inf,0.00396400249203887
"126","SORT1","Q99523",20008.5,0.329107343953985,2.08274280808534,0.462027357903812,9.38865963329875,0.449303069571962,471310,0.0545649531439122,5.63443014207006,0.777440394885269,40.835031514606,0.0696479483219042
"127","APOL2","Q9BQE5",86732,0.59928878038224,0.652664395983267,0.131437808555187,3.24085450348444,0.676894521726703,28414.5,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.0137800338015797
"128","CHID1","Q9BWS9",31401.5,0.367690535861021,2.09935956997959,0.403132385241759,10.9326632277926,0.461819313041442,58810.5,0.035258240333956,0.189368370570746,0.0338905192265234,1.05812423624818,0.0512550345595471
"129","SIGLEC1","Q9BZZ2",19273,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,1147450,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"130","CDCP1","Q9H5V8",59498.45,0.353128922948805,2.79621428287191,0.289766444834726,26.9831599038201,0.461819313041442,389405,0.0266238999494781,6.90902018849756,0.957121901942944,49.8730202163031,0.0401918489621929
"131","CD248","Q9HCU0",100248,0.0679721790148888,0.171797770347251,0.0207536022503996,1.42213739765194,0.227056002241224,961455,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"132","ABCB6","Q9NP58",33303,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,7496.15,0.0196898396406117,0.151182763957754,0.0245987790891202,0.929161078893351,0.031543926771184
